State,Q1_2010_y,Q1_2010_t,Q1_2010_perc,Q2_2010_y,Q2_2010_t,Q2_2010_perc,Q3_2010_y,Q3_2010_t,Q3_2010_perc,Q4_2010_y,Q4_2010_t,Q4_2010_perc,Q1_2011_y,Q1_2011_t,Q1_2011_perc,Q2_2011_y,Q2_2011_t,Q2_2011_perc,Q3_2011_y,Q3_2011_t,Q3_2011_perc,Q4_2011_y,Q4_2011_t,Q4_2011_perc,Q1_2012_y,Q1_2012_t,Q1_2012_perc,Q2_2012_y,Q2_2012_t,Q2_2012_perc,Q3_2012_y,Q3_2012_t,Q3_2012_perc,Q4_2012_y,Q4_2012_t,Q4_2012_perc,Q1_2013_y,Q1_2013_t,Q1_2013_perc,Q2_2013_y,Q2_2013_t,Q2_2013_perc,Q3_2013_y,Q3_2013_t,Q3_2013_perc,Q4_2013_y,Q4_2013_t,Q4_2013_perc,Q1_2014_y,Q1_2014_t,Q1_2014_perc,Q2_2014_y,Q2_2014_t,Q2_2014_perc,Q3_2014_y,Q3_2014_t,Q3_2014_perc,Q4_2014_y,Q4_2014_t,Q4_2014_perc,Q1_2015_y,Q1_2015_t,Q1_2015_perc,Q2_2015_y,Q2_2015_t,Q2_2015_perc,Q3_2015_y,Q3_2015_t,Q3_2015_perc,Q4_2015_y,Q4_2015_t,Q4_2015_perc,Q1_2016_y,Q1_2016_t,Q1_2016_perc,Q2_2016_y,Q2_2016_t,Q2_2016_perc,Q3_2016_y,Q3_2016_t,Q3_2016_perc,Q4_2016_y,Q4_2016_t,Q4_2016_perc
Alabama,,,,,,,,,,,,,,,,,,,32229,,,27254,,,31474,,,31695,113841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,84599,394307,,96320,411883,,94860,397803,,91861,348809,,88143,421402,,93913,415445,,105331,420765,,86920,369748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,9292,,,16668,,,12735,,,5126,,,,,,,,,6749,,,,,,4787,,,11790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,487714,1824295,,551241,2013863,,628186,2249060,,439310,1647927,,464999,1702795,,516347,1882518,,322876,1224913,,254386,975721,,273446,1035518,,282536,1043218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221642,326897,0.678017847,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,8706,22166,,9514,25622,,11253,31152,,9642,29052,,9534,33270,,10571,35819,,11780,29274,,10037,26478,,2935,8049,,9969,26514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,118890,,,106689,,,155502,,,422107,1124757,,458132,1207166,,440644,1116479,,352613,843361,,426538,1056622,,516725,1269701,,380391,865604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,184251,535933,,167131,581832,,160267,603545,,138150,494476,,144919,546344,,,,,158903,459016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,14641,42849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas,21954,,,21392,171119,,24686,,,19222,,,,183806,,,,,,,,,142315,,,142182,,49452,142732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,64328,272029,,58936,248502,,61420,264471,,54700,245680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,217756,339292,,269869,513129,,195313,363407,,169461,315448,,182723,334658,,169889,302370,,199979,336183,,174607,316917,,188641,343840,,180678,312903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,69782,491979,,84409,491979,,89405,491979,,76885,491979,,72948,489250,,94091,489250,,120425,489250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,6444,,,12694,,,14468,,,11627,,,,,,,,,15014,,,12550,,,14332,,,14332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86924,225022,0.386291118,92218,229723,0.401431289,97283,237171,0.41018084,86451,207655,0.416320339,90748,214153,0.423753111,95871,222579,0.430727966,101063,234279,0.431378826,82279,191778,0.429032527,99545,231420,0.430148647,NA,NA,NA,29084,72136,0.403182877,27029,65672,0.41157571
New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
