ResponseID,ResponseSet,Name,Repeated Study,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,Mturk,track,track_2,Consent Form /    /  /  Study Background and Purpose: This study examines decision-making. Your participat...,mcyes,mcyesconfidence,mcyesfirst,mcyeslast,mcyestotaltime,mcyesclickcount,mcno,mcnoconfidence,mcnofirst,mcnolast,mcnototaltime,mcnoclickcount,optyes,optyesconfidence,optyesfirst,optyeslast,optyestotaltime,optyesclickcount,optno,optnoconfidence,optnofirst,optnolast,optnototaltime,optnoclickcount,This is the last page of questions. Please answer them all.,Are you registered as an organ donor on a state or regional registry? ,Have you communicated with your next of kin about whether or not you would like to be an organ donor...,"If you have communicated with your next of kin about organ donation, what have you communicated?","If you had to explicitly communicate with your next of kin about your wishes, which would you indica...",What is your gender?,What is your age?,Which of the following best describes your race/ethnicity?,What is the highest educational degree you have earned?,Are you currently a student?,What is your marital status?,How many children do you have?,What is your total household income? (Please include your parents if you are listed as a dependent.),With which religious affiliation do you most closely identify?,"About how often do you attend religious services (excluding occasional weddings, funerals, etc.)?","Generally speaking, do you think of yourself as a Republican, a Democrat, or an Independent?","When it comes to social issues, do you think of yourself as a liberal or conservative?",In which US State do you live?,"Have you, or has anyone else in your family, received an organ transplant?","Have you, or has anyone else in your family, received dialysis treatment?","Have you, or has anyone else in your family, worked in health care?","If there were an option to be registered as an organ and tissue donor, but for your donor status to...",How many vital organs (organs that are necessary to live) can be transplanted from a cadaver? Please...,About how many people can receive any (vital or non-vital) organs and tissues from one cadaver? Plea...,About how many people are on the organ waiting list for a kidney in the Untied States? Please make y...,Do you think deceased donor organs are allocated fairly overall? ,Do you think deceased donor organs are allocated fairly to people of different races? ,Do you think deceased donor organs are allocated fairly to people with different incomes? ,Do you think deceased donor organs are allocated fairly to people with differential responsibility f...,surveyfirst,surveylast,surverytotaltime,surveyclickcount,Thank you for completing this survey. Your code for payment on MTurk is ${e://Field/Mturk}-111212101...
R_9BL6VsC01DsbYSV,Default Response Set,Anonymous,,,,0,1/8/13 3:58,1/8/13 4:04,1,7105399,93,3,1,1,2,9.114,12.851,12.852,3,2,2,14.906,18.658,18.658,3,1,2,10.287,14.4,14.401,3,2,2,89.083,92.876,92.877,3,1,2,1,2,2,2,40,5,4,1,1,0,5,2,5,6,2,TN,2,2,2,2,6,50,10000,1,1,1,1,3.809,164.921,164.921,30,1
R_5hBi4dATxVIEBlX,Default Response Set,Anonymous,,,,0,1/8/13 4:04,1/8/13 4:10,1,2894303,83,85,1,1,2,9.579,14.141,14.145,3,2,2,13.381,18.536,18.542,3,1,3,44.859,50.826,50.831,3,2,2,46.658,63.517,63.521,4,1,2,2,,2,2,34,5,4,3,2,0,5,2,4,2,2,California,2,2,1,2,,50,10000,1,1,2,2,4.547,167.256,167.263,31,1
R_42rS7ACV9gJUeRD,Default Response Set,Anonymous,,,,0,1/8/13 4:06,1/8/13 4:11,1,7559626,71,88,1,1,1,13.981,17.091,17.1,3,2,1,16.212,27.163,27.173,3,1,1,33.338,50.851,50.861,6,2,1,6.56,11.182,11.188,3,1,1,1,1,1,1,26,5,4,1,2,0,11,8,5,5,1,Illinois,2,2,2,2,20,10,10000,2,2,2,2,2.006,172.412,172.422,46,1
R_7ZFdxRUmJIo2L0p,Default Response Set,Anonymous,,,,0,1/8/13 4:12,1/8/13 4:18,1,7298009,55,95,1,1,2,8.219,14.939,14.957,4,2,3,6.426,9.554,9.572,3,1,3,43.532,46.859,46.868,3,2,3,7.55,20.784,9.812,5,1,2,2,,1,1,41,5,3,3,3,3,4,8,5,5,2,Florida,2,2,2,1,5,15,30000,2,2,2,2,3.399,252.654,252.707,31,1
R_5A5pe1fHRhV9Uy1,Default Response Set,Anonymous,,,,0,1/8/13 4:16,1/8/13 4:20,1,3053624,20,73,1,1,1,45.54,50.906,50.908,3,2,1,7.594,11.562,11.564,3,1,1,17.878,20.774,20.776,4,2,1,5.291,8.245,8.247,3,1,1,1,1,1,1,24,5,4,3,2,0,10,8,5,6,2,Washington,2,2,2,2,12,50,1200,1,1,1,1,4.32,156.391,156.395,38,1
R_bqkMnofDzL1272d,Default Response Set,Anonymous,,,,0,1/8/13 4:21,1/8/13 4:27,1,7332654,70,65,1,1,1,21.621,29.761,29.762,4,2,1,2.614,5.403,5.404,3,1,2,53.539,61.89,61.892,4,2,2,12.57,22.287,22.29,3,1,1,2,1,1,1,26,5,4,2,2,0,1,8,5,6,3,IL,1,1,1,1,10,50,20000,2,1,2,1,4.178,202.668,202.672,32,1
R_0e32kb8xxbfqt0h,Default Response Set,Anonymous,,,,0,1/8/13 4:23,1/8/13 4:32,1,577417,90,90,1,1,1,33.957,35.906,36.803,2,2,1,11.239,13.551,14.663,2,1,1,27.939,34.038,35.271,2,2,3,69.042,82.259,102.307,2,1,2,2,2,2,2,22,2,3,3,2,0,5,4,4,7,2,MD,1,1,1,1,50,50,10000,2,2,2,2,6.691,314.018,19.76,40,1
R_bPmsg3AQl8pkO8t,Default Response Set,Anonymous,,,,0,1/8/13 4:29,1/8/13 4:36,1,8118299,33,44,1,1,1,31.065,34.713,34.715,3,2,3,52.804,58.212,58.213,3,1,1,20.3,23.892,23.894,3,1,1,31.881,39.361,39.362,3,1,1,1,1,1,2,36,6,2,3,1,1,4,4,4,6,4,Colorado,1,1,2,2,5,1,5000,1,1,2,2,4.895,208.054,208.056,30,1
R_b2gDInB5bHgHcdD,Default Response Set,Anonymous,,,,0,1/8/13 4:43,1/8/13 4:48,1,2789012,40,33,1,1,1,17.904,22.358,22.361,4,2,1,47.461,59.391,59.394,4,1,1,9.689,19.989,19.992,4,2,1,22.393,25.465,25.468,4,1,1,1,1,1,1,27,5,3,2,2,0,1,8,5,3,3,Alaska,2,2,2,2,25,25,50000,2,2,2,2,3.696,135.486,135.494,34,1
R_09hK7f3znUWSItv,Default Response Set,Anonymous,,,,0,1/8/13 4:44,1/8/13 4:49,1,5683178,92,61,1,2,3,11.975,17.207,17.211,3,2,3,4.46,11.98,11.984,5,2,3,14.575,17.687,17.692,3,2,3,42.234,48.89,48.894,3,1,1,1,1,1,1,28,5,4,3,1,2,6,4,5,4,4,GA,2,2,1,2,10,10,5000000,2,2,2,2,4.923,153.939,153.951,45,1
